
CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-03-28T13:47:05.119-04:00,2023-03-28T13:47:05.119-04:00,REBUILD,VIEW,HR_COST_CENTER_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:05.083-04:00,2023-03-28T13:47:05.083-04:00,OWNERSHIP,VIEW,HR_COST_CENTER_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,TRUE,PRODADMINBI,,ROLE
2023-03-28T13:47:05.123-04:00,2023-03-28T13:47:05.123-04:00,SELECT,VIEW,HR_COST_CENTER_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERDI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:47:05.125-04:00,2023-03-28T13:47:05.125-04:00,SELECT,VIEW,HR_COST_CENTER_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:39:58.121-04:00,2023-03-28T15:39:58.121-04:00,REBUILD,VIEW,HR_EMPLOYMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:39:58.121-04:00,2023-03-28T15:39:58.121-04:00,SELECT,VIEW,HR_EMPLOYMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,DATADIRECTOR,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:39:58.122-04:00,2023-03-28T15:39:58.122-04:00,SELECT,VIEW,HR_EMPLOYMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERDI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:39:58.123-04:00,2023-03-28T15:39:58.123-04:00,SELECT,VIEW,HR_EMPLOYMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:39:58.124-04:00,2023-03-28T15:39:58.124-04:00,UPDATE,VIEW,HR_EMPLOYMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:39:58.12-04:00,2023-03-28T15:39:58.12-04:00,INSERT,VIEW,HR_EMPLOYMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:39:58.12-04:00,2023-03-28T15:39:58.12-04:00,REFERENCES,VIEW,HR_EMPLOYMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:39:58.122-04:00,2023-03-28T15:39:58.122-04:00,SELECT,VIEW,HR_EMPLOYMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:39:58.096-04:00,2023-03-28T15:39:58.096-04:00,OWNERSHIP,VIEW,HR_EMPLOYMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,TRUE,PRODADMINBI,,ROLE
2023-03-28T15:39:58.115-04:00,2023-03-28T15:39:58.115-04:00,DELETE,VIEW,HR_EMPLOYMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T15:39:58.123-04:00,2023-03-28T15:39:58.123-04:00,TRUNCATE,VIEW,HR_EMPLOYMENT_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:49:30.461-04:00,2023-03-28T13:49:30.461-04:00,SELECT,VIEW,HR_EMP_CLASS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:49:30.462-04:00,2023-03-28T13:49:30.462-04:00,SELECT,VIEW,HR_EMP_CLASS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:49:30.461-04:00,2023-03-28T13:49:30.461-04:00,SELECT,VIEW,HR_EMP_CLASS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERDI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:49:30.462-04:00,2023-03-28T13:49:30.462-04:00,TRUNCATE,VIEW,HR_EMP_CLASS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:49:30.458-04:00,2023-03-28T13:49:30.458-04:00,INSERT,VIEW,HR_EMP_CLASS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:49:30.437-04:00,2023-03-28T13:49:30.437-04:00,OWNERSHIP,VIEW,HR_EMP_CLASS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,TRUE,PRODADMINBI,,ROLE
2023-03-28T13:49:30.462-04:00,2023-03-28T13:49:30.462-04:00,UPDATE,VIEW,HR_EMP_CLASS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:49:30.459-04:00,2023-03-28T13:49:30.459-04:00,REBUILD,VIEW,HR_EMP_CLASS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:49:30.459-04:00,2023-03-28T13:49:30.459-04:00,REFERENCES,VIEW,HR_EMP_CLASS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:49:30.46-04:00,2023-03-28T13:49:30.46-04:00,SELECT,VIEW,HR_EMP_CLASS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,DATADIRECTOR,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:49:30.454-04:00,2023-03-28T13:49:30.454-04:00,DELETE,VIEW,HR_EMP_CLASS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:48:51.046-04:00,2023-03-28T13:48:51.046-04:00,SELECT,VIEW,HR_EMP_STATUS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:48:51.04-04:00,2023-03-28T13:48:51.04-04:00,REBUILD,VIEW,HR_EMP_STATUS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:48:51.043-04:00,2023-03-28T13:48:51.043-04:00,SELECT,VIEW,HR_EMP_STATUS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODUSERDI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:48:51.047-04:00,2023-03-28T13:48:51.047-04:00,UPDATE,VIEW,HR_EMP_STATUS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:48:51.042-04:00,2023-03-28T13:48:51.042-04:00,SELECT,VIEW,HR_EMP_STATUS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,DATADIRECTOR,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:48:51.038-04:00,2023-03-28T13:48:51.038-04:00,REFERENCES,VIEW,HR_EMP_STATUS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:48:51.045-04:00,2023-03-28T13:48:51.045-04:00,SELECT,VIEW,HR_EMP_STATUS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
2023-03-28T13:48:51.037-04:00,2023-03-28T13:48:51.037-04:00,INSERT,VIEW,HR_EMP_STATUS_FCT,CORPITDATAPROD,EDW_SEM_MRT_VW,ROLE,PRODADMINBI,FALSE,PRODADMINBI,,ROLE
